Date,Close,Volume,달러(원),위안(원)
2022-11-23,1749.4,140515,1351.8,188.84
2022-11-24,1755.38,87098,1328.2,185.8
2022-11-25,1754.65,103484,1323.7,184.78
2022-11-28,1741.5,128876,1340.2,185.72
2022-11-29,1749.67,150295,1326.6,185.09
2022-11-30,1768.39,173585,1318.8,184.32
2022-12-01,1802.86,187527,1299.7,184.18
2022-12-02,1797.98,163926,1299.9,184.55
2022-12-05,1768.65,155784,1292.6,186.05
2022-12-06,1770.99,140393,1318.8,189.06
2022-12-07,1785.98,150509,1321.7,189.34
2022-12-08,1788.98,127854,1318.0,189.06
2022-12-09,1797.46,130802,1301.3,187.04
2022-12-12,1781.27,117482,1307.2,187.38
2022-12-13,1810.51,165436,1306.0,186.27
2022-12-14,1807.2,167756,1296.3,186.0
2022-12-15,1776.8,172988,1303.1,187.03
2022-12-16,1793.1,144965,1305.4,187.5
2022-12-19,1787.65,125480,1302.9,186.6
2022-12-20,1817.67,186978,1289.6,184.71
2022-12-21,1814.15,131501,1285.7,184.35
2022-12-22,1792.4,135463,1276.2,182.61
2022-12-23,1798.51,107520,1280.8,182.78
2022-12-27,1813.47,106424,1271.4,182.61
2022-12-28,1804.21,102536,1267.0,181.77
2022-12-29,1814.79,100128,1264.5,181.58
2022-12-30,1824.2,109366,0.0,0.0
2023-01-03,1839.47,153530,1271.0,184.5
2023-01-04,1854.68,159325,1271.7,184.5
2023-01-05,1832.92,142899,1269.4,184.5
2023-01-06,1866.03,134449,1268.6,184.9
2023-01-09,1871.67,134341,1243.5,183.34
2023-01-10,1876.91,131931,1244.7,183.53
2023-01-11,1875.65,125672,1246.2,183.78
2023-01-12,1896.75,169960,1245.8,184.2
2023-01-13,1920.29,159548,1241.3,184.06
2023-01-16,1915.45,90117,1235.3,183.85
2023-01-17,1908.59,139840,1238.7,182.9
2023-01-18,1904.16,180482,1237.4,182.57
2023-01-19,1932.12,156031,1232.1,181.81
2023-01-20,1925.92,136165,1235.5,182.26
2023-01-23,1930.85,145746,0.0,0.0
2023-01-24,1937.26,143041,0.0,0.0
2023-01-25,1946.08,143714,1231.7,181.91
2023-01-26,1928.94,144998,1230.7,182.33
2023-01-27,1928.3,119510,1231.3,182.24
2023-01-30,1923.23,145261,1227.4,181.71
2023-01-31,1928.1,163653,1231.9,182.38
2023-02-01,1950.06,170229,1231.3,182.39
2023-02-02,1912.6,187358,1220.3,181.74
2023-02-03,1865.81,180401,1229.4,182.13
2023-02-06,1867.65,151531,1252.8,184.47
2023-02-07,1873.63,157897,1255.3,184.84
2023-02-08,1875.55,122113,1260.1,185.61
2023-02-09,1861.59,126475,1260.4,185.6
2023-02-10,1865.35,138533,1265.2,185.7
2023-02-13,1853.41,108404,1277.3,186.8
2023-02-14,1854.36,146047,1269.4,186.0
2023-02-15,1835.85,130316,1282.2,187.13
2023-02-16,1836.43,136408,1284.8,187.13
2023-02-17,1842.54,130317,1299.5,188.56
2023-02-20,1841.26,68363,1294.5,188.52
2023-02-21,1834.87,127405,1295.9,188.39
2023-02-22,1825.2,135067,1304.9,189.17
2023-02-23,1822.27,122849,1297.1,188.23
2023-02-24,1810.82,135136,1304.8,187.97
2023-02-27,1817.25,115134,1323.0,189.38
2023-02-28,1826.5,114598,1322.6,190.08
2023-03-01,1836.56,124223,0.0,0.0
2023-03-02,1835.6,115377,1315.6,190.3
2023-03-03,1855.3,114876,1301.6,188.3
2023-03-06,1846.61,107175,1296.9,187.35
2023-03-07,1813.05,134388,1299.4,187.19
2023-03-08,1813.72,122507,1321.4,189.34
2023-03-09,1830.77,126833,1322.2,189.3
2023-03-10,1867.15,189165,1324.2,189.85
2023-03-13,1913.56,252911,1301.8,188.99
2023-03-14,1903.86,191738,1311.1,190.67
2023-03-15,1918.01,209509,1303.7,189.14
2023-03-16,1919.34,194406,1313.0,190.27
2023-03-17,1988.17,178128,1302.2,189.69
2023-03-20,1978.64,216846,1310.5,189.84
2023-03-21,1940.53,149576,1311.2,190.58
2023-03-22,1969.79,129183,1307.7,189.83
2023-03-23,1993.97,180114,1278.3,187.67
2023-03-24,1978.81,185538,1294.3,188.94
2023-03-27,1956.35,137833,1301.5,189.15
2023-03-28,1973.52,123125,1298.8,188.65
2023-03-29,1964.37,112432,1302.7,189.05
2023-03-30,1980.21,114683,1299.0,188.7
2023-03-31,1969.41,122612,1301.9,189.44
2023-04-03,1984.35,134768,1316.5,190.99
2023-04-04,2020.53,130283,1315.8,191.13
2023-04-05,2020.66,144574,1310.5,190.72
2023-04-06,2007.32,137810,1319.1,191.7
2023-04-10,1991.18,109339,1319.7,191.78
2023-04-11,2003.52,123789,1322.2,191.86
2023-04-12,2014.77,159771,1325.7,192.38
2023-04-13,2040.1,149901,1310.4,190.49
2023-04-14,2004.42,175966,1298.9,189.98
2023-04-17,1995.08,148115,1311.1,190.84
2023-04-18,2005.21,129636,1318.6,191.71
2023-04-19,1994.67,154703,1325.7,192.13
2023-04-20,2004.7,146685,1322.8,191.97
2023-04-21,1982.84,152487,1328.2,192.41
2023-04-24,1989.05,139790,1334.8,193.32
2023-04-25,1997.06,165145,1332.2,192.63
2023-04-26,1989.29,173748,1336.3,192.77
2023-04-27,1987.74,159975,1338.0,193.05
2023-04-28,1989.55,184958,1337.7,193.28
2023-05-01,1982.44,124357,0.0,0.0
2023-05-02,2016.53,163747,1342.1,193.02
2023-05-03,2038.52,163007,1338.2,193.1
2023-05-04,2050.15,236494,1322.8,193.37
2023-05-05,2016.54,171684,0.0,0.0
2023-05-08,2021.36,127751,1321.4,190.92
2023-05-09,2034.42,126509,1323.9,191.02
2023-05-10,2030.1,155324,1324.8,191.2
2023-05-11,2014.95,171712,1326.3,190.88
2023-05-12,2010.91,139283,1334.5,191.77
2023-05-15,2016.32,117826,1337.0,191.99
2023-05-16,1988.81,130829,1338.6,191.9
2023-05-17,1981.41,119404,1337.2,190.78
2023-05-18,1957.39,121863,1334.2,189.8
2023-05-19,1977.5,137157,1326.7,188.44
2023-05-22,1971.73,119525,1318.1,187.48
2023-05-23,1974.88,132954,1312.7,185.94
2023-05-24,1957.24,132173,1317.4,186.61
2023-05-25,1940.69,131856,1326.0,187.16
2023-05-26,1946.72,120249,1324.5,187.4
2023-05-29,1943.15,52967,0.0,0.0
2023-05-30,1959.17,124746,1324.9,186.47
2023-05-31,1962.6,135381,1327.2,186.3
2023-06-01,1977.4,129954,1321.6,185.63
2023-06-02,1947.62,123567,1305.7,184.18
2023-06-05,1961.7,126309,1308.1,183.55
2023-06-06,1963.23,108610,0.0,0.0
2023-06-07,1939.87,116106,1303.8,182.73
2023-06-08,1965.44,120507,1303.7,182.54
2023-06-09,1960.46,102226,1291.5,181.05
2023-06-12,1957.34,117727,1288.3,180.29
2023-06-13,1943.44,127070,1271.4,177.41
2023-06-14,1941.74,124459,1278.5,178.2
2023-06-15,1957.96,143246,1280.5,178.84
2023-06-16,1957.51,121322,1271.9,178.87
2023-06-19,1950.48,64873,1282.0,178.99
2023-06-20,1936.08,125331,1280.3,178.55
2023-06-21,1932.43,117530,1292.0,179.46
2023-06-22,1913.64,112259,1294.9,180.08
2023-06-23,1920.53,117890,1304.2,180.63
2023-06-26,1923.14,124470,1306.3,180.46
2023-06-27,1913.62,145343,1300.3,180.39
2023-06-28,1907.28,132146,1307.3,180.59
2023-06-29,1908.25,158035,1317.6,181.35
2023-06-30,1919.17,152073,1317.7,181.3
2023-07-03,1921.48,117342,1308.0,180.15
2023-07-04,1925.89,59937,1301.4,180.0
2023-07-05,1915.21,137542,1298.6,179.13
2023-07-06,1910.93,154947,1300.9,179.41
2023-07-07,1925.31,155209,1305.0,179.96
2023-07-10,1925.28,130186,1306.5,180.37
2023-07-11,1932.09,140599,1293.7,179.65
2023-07-12,1957.35,169381,1288.7,179.16
2023-07-13,1960.39,174561,1274.0,177.66
2023-07-14,1955.45,155997,1265.8,177.63
2023-07-17,1954.92,122773,1266.6,176.33
2023-07-18,1978.73,167005,1260.4,175.66
2023-07-19,1976.97,139338,1265.6,175.35
2023-07-20,1969.5,150787,1269.9,176.63
2023-07-21,1961.84,131317,1283.4,179.01
2023-07-24,1954.87,128955,1279.9,177.91
2023-07-25,1964.85,115002,1275.4,178.41
2023-07-26,1972.27,151452,1274.5,178.24
2023-07-27,1945.52,171566,1277.7,178.99
2023-07-28,1959.15,161272,1277.0,178.46
